Period,Team,Player,Type,X,Y,Time,Strength,msu_score,opp_score
3,BC,,Shot,-68.24,6.74,9:52,EVEN,4,3
3,MSU,,Shot,12.36,-31.26,9:26,EVEN,4,3
3,BC,,Block,-80.04,-21.46,8:39,EVEN,4,3
3,BC,,Shot,-42.64,-25.46,8:34,EVEN,4,3
3,MSU,,Miss,87.76,-18.66,5:32,EVEN,4,3
3,MSU,,Shot,74.76,-13.26,3:57,EVEN,4,3
3,BC,,Miss,-30.64,-7.46,3:23,EVEN,4,3
3,BC,,Shot,-71.64,-9.26,3:15,EVEN,4,3
3,BC,,Block,-52.24,20.34,2:57,EVEN,4,3
3,BC,,Shot,-70.64,18.34,2:48,EVEN,4,3
3,BC,,Block,-56.84,10.94,2:44,EVEN,4,3
3,BC,,Shot,-61.84,33.14,1:24,EN,4,3
